range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
2.328209218219847,21,10,462462989.8857496,874962214.534726,875274624.2925115,462775414.8243507,876813342.2412294,464314131.0197334,-95.90799713134766,-99.06819915771484,0.9275000095367432,-1.6158000230789185,[0.00720111 0.10265899 0.12901574],[ 0.02089764 -0.00654522 -0.36675257  0.93006069],[0.03580668 1.99257219 0.10969196],[-0.01153365  0.00395426 -0.42320985  0.90594964],[ 0.01678393 -1.98222111  0.13881304],[0.00618657 0.00696922 0.73899989 0.67364114],2.3326657647723,-0.0044565465524528,"(21, 10)",312425.3806089759,312409.7462189197,1538715.9298627973,1538717.9487179518,2.4042000770568848,0.071534312284585,462462989.5958534,875274624.211238,876813342.159956,874962214.4650191,462775414.9764624,464314130.9063252,0.187723652501487,1.1735188961029053
2.465554733437476,31,11,268457484.8062889,969396574.4068584,969709135.5072168,268770062.60836345,971247853.4559346,270308781.7797955,-93.95120239257812,-93.8582992553711,-1.174299955368042,1.1491999626159668,[0.00712156 0.1026856  0.12893955],[ 0.02093722 -0.00648637 -0.36649393  0.9301622 ],[0.0358603  1.99248254 0.10969994],[-0.01165877  0.00474157 -0.42331006  0.9058974 ],[ 0.01670897 -1.98233968  0.13895507],[0.00606266 0.00674798 0.7387986  0.67386522],2.4724279971358887,-0.006873263698413,"(31, 11)",312577.71809899807,312561.05080628395,1538719.2476712463,1538717.9487179518,2.4579999446868896,-0.014428052448999,268457484.78816104,969709135.4291868,971247853.3779048,969396574.3783804,268770062.50626004,270308781.7539313,0.185267484764626,1.2710094451904297
1.8750902358021628,10,20,978317853.459178,701467516.6822376,701774271.727473,978624620.8523016,703312989.676191,980163337.9727584,-93.58419799804688,-91.99479675292967,-0.0623000003397464,-0.5327000021934509,[0.00725391 0.10271818 0.12900317],[ 0.02071573 -0.00631177 -0.36643482  0.93019164],[0.03587011 1.9924908  0.1097223 ],[-0.01188131  0.00492757 -0.42342076  0.90584175],[ 0.01673033 -1.98235533  0.13895601],[0.00606116 0.00676969 0.73882454 0.67383657],1.880096467222224,-0.0050062314200605,"(10, 20)",306767.5155248642,306754.979842782,1538717.1192657948,1538717.9487179518,1.903200030326844,0.0231035631046203,978317853.3779048,701774271.6471354,703312989.5958533,701467516.6672926,978624620.8934296,980163338.0126952,0.1843300069872339,1.276914119720459
1.426832802976086,20,11,932069920.7659346,1342891519.821377,1343276218.8405502,932454629.514875,1344814936.7892685,933993348.295982,-81.56420135498047,-82.14810180664062,-1.2376999855041504,1.062600016593933,[0.00703646 0.10264217 0.12889551],[ 0.02097523 -0.00652226 -0.36656852  0.93013172],[0.03589052 1.99256932 0.10962044],[-0.01247219  0.00357686 -0.42330712  0.9058933 ],[ 0.01665351 -1.98228386  0.13889563],[0.00617661 0.00688943 0.73883217 0.67382594],1.4298899532256797,-0.0030571502495935,"(20, 11)",384709.00315511227,384698.8775792122,1538718.7781701088,1538717.948718071,1.486199975013733,0.0563100217880534,932069920.685597,1343276218.76252,1344814936.711238,1342891519.8849409,932454629.688752,933993348.4669222,0.1502862322854755,1.645925760269165
1.8742369458256585,20,10,1186074464.0351655,1597357411.6974547,1597668494.4848192,1186385559.361243,1599207212.4335372,1187924277.4652703,-92.9893035888672,-93.5248031616211,-0.4106999933719635,0.0540000014007091,[0.00731318 0.10239962 0.12928706],[ 0.02061662 -0.00815426 -0.36762087  0.92971144],[0.03596312 1.99253421 0.10975214],[-0.01325646  0.00442627 -0.423998    0.90555527],[ 0.0167695  -1.98239158  0.13897925],[0.00612884 0.00684097 0.73886568 0.67379013],1.8804242754098008,-0.0061873295841425,"(20, 10)",311095.3932542801,311082.7010717392,1538718.1052184105,1538717.948718071,1.89709997177124,0.0166756963614391,1186074463.9548278,1597668494.4035456,1599207212.3522637,1597357411.702474,1186385559.348082,1187924277.4533005,0.1847372116017699,1.8957338333129885
2.331559331132941,21,10,1274441235.0780575,1686941443.1112356,1687252356.6643066,1274752163.867628,1688791074.6130245,1276290880.219511,-95.81819915771484,-98.5593032836914,1.1064000129699707,-1.4677000045776367,[0.00719407 0.10257544 0.12918179],[ 0.02083632 -0.00676885 -0.36689824  0.93000305],[0.03603001 1.99257369 0.10976903],[-0.01324391  0.00480134 -0.4235176   0.90577832],[ 0.01667329 -1.98226077  0.13890401],[0.00617229 0.00681247 0.73881919 0.673841  ],2.3326938397792683,-0.0011345086463272,"(21, 10)",310929.2367787361,310913.539788723,1538716.0863633156,1538717.9487178326,2.408600091934204,0.0759062521549358,1274441234.7881613,1687252356.583033,1688791074.531751,1686941443.0432444,1274752164.02494,1276290880.111303,0.1875790546284689,1.986403465270996
1.4312782738973584,20,11,1704048454.419781,2114869490.1491225,2115173847.0456784,1704352821.0168304,2116712564.9943964,1705891539.7196877,-81.99530029296875,-82.31189727783203,-1.0104000568389893,0.5577999949455261,[0.00722768 0.10279138 0.12889679],[ 0.02067622 -0.00639943 -0.36647912  0.93017446],[0.03590417 1.99251071 0.10964078],[-0.013102    0.00399984 -0.42399632  0.90556029],[ 0.01671407 -1.98235206  0.13887821],[0.00617102 0.00682128 0.73886486 0.67379085],1.4296856061196064,0.001592667777752,"(20, 11)",304366.8776292801,304356.67380309105,1538718.699919939,1538717.948718071,1.506700038909912,0.0770144327903057,1704048454.3394432,2115173846.9676485,2116712564.9163663,2114869490.2938447,1704352821.2170725,1705891539.9169924,0.1640365259533286,2.413617849349976
2.327321514147884,21,10,1963422765.526776,2375923811.4199014,2376233462.433537,1963732431.762538,2377772180.382255,1965271148.1770213,-95.23690032958984,-98.33550262451172,0.9099000096321106,-1.5217000246047974,[0.00718215 0.10267522 0.12904705],[ 0.0206724  -0.00658232 -0.36661969  0.93011791],[0.0359161  1.99246143 0.10972311],[-0.01226962  0.00484069 -0.42321062  0.9059353 ],[ 0.01662408 -1.98228825  0.13886222],[0.00621528 0.00680814 0.7388429  0.67381465],2.332556821871472,-0.0052353077235887,"(21, 10)",309666.6854467392,309650.98845624924,1538716.1489634514,1538717.948718071,2.406399965286255,0.0738431434147828,1963422765.236879,2376233462.3522635,2377772180.300981,2375923811.363807,1963732431.9223256,1965271148.0712893,0.1872761894362689,2.675894021987915
3.598322816659576,10,1,2458276899.933537,19990894.03367364,20297460.828841045,2458583491.505792,21836178.777559,2460122213.2914834,-80.33609771728516,-80.60079956054688,-2.7985999584198,2.150399923324585,[0.00709435 0.10245231 0.12915741],[ 0.0210167  -0.00836203 -0.36766799  0.929682  ],[0.03585391 1.99257899 0.10968046],[-0.01289414  0.00393684 -0.42382159  0.90564525],[ 0.01675475 -1.98231736  0.13893423],[0.00610874 0.00684493 0.73882401 0.67383597],3.60676736411052,-0.008444547450944,"(10, 1)",306591.5308241844,306566.88201121613,1538721.782978058,1538717.948717948,3.5790998935699463,-0.0276674705405737,2458276899.8522635,20297460.74969952,21836178.698417462,19990893.867688306,2458583491.383088,2460122213.1660657,0.0725659296859131,2.757108688354492
1.8730046101502005,10,20,2490311715.638665,2213461926.312412,2213768406.342858,2490618208.006347,2215307124.2915754,2492156925.1424537,-93.4727020263672,-91.43800354003906,0.1220000013709068,-0.4097000062465668,[0.00703259 0.10239209 0.1291634 ],[ 0.02093508 -0.00841021 -0.36762528  0.92970027],[0.03592969 1.9924816  0.1095985 ],[-0.01292937  0.00422506 -0.42366425  0.90571709],[ 0.01662491 -1.98228358  0.13886756],[0.00622796 0.00682564 0.73883124 0.67382714],1.8803673651853927,-0.0073627550351929,"(10, 20)",306492.5130209923,306479.9616885185,1538717.1349158287,1538717.948717594,1.905099987983704,0.0247326227983106,2490311715.557392,2213768406.2625203,2215307124.211238,2213461926.300832,2490618208.0704126,2492156925.2053285,0.1840629530418695,2.7887301445007324
